id,date,symbol,score,signal_strength,entry,sl,sl_pct,t1,t2,rr_t1,rr_t2,sector,layers_passed,layer1,layer2,layer3,layer4,layer5,bulk_buyers,pcr,call_oi_chg,put_oi_chg,status,current_price,exit_price,pnl_pct,pnl_pts,exit_date,exit_reason,t1_hit,days_held,progress_pct,dist_sl_pct,dist_t2_pct,last_updated,reasons
46,2026-06-17,DMART,7.0,GOOD,4238.1,4132.15,2.5,4492.39,4661.91,2.4,4.0,Nifty 50,4,1.0,2.0,2.0,2.0,0.0,,,,,OPEN,4389.1,4389.1,3.56,151.0,,,False,7,35.6,5.85,6.22,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty 50 above EMA20
47,2026-06-17,BANDHANBNK,7.0,GOOD,214.31,208.95,2.5,227.17,235.74,2.4,4.0,Nifty Bank,4,2.0,1.0,2.0,2.0,0.0,,,,,SL HIT,208.93,208.93,-2.51,-5.38,2026-06-19,SL Hit,False,2,-25.1,-0.01,12.83,2026-06-19 12:38 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Bank above EMA20
48,2026-06-18,LALPATHLAB,8.0,GOOD,1662.9,1621.33,2.5,1762.67,1829.19,2.4,4.0,Nifty Pharma,4,2.0,2.0,2.0,2.0,0.0,,,,,OPEN,1663.0,1663.0,0.01,0.1,,,False,6,0.1,2.51,9.99,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
49,2026-06-18,ADANIPORTS,7.0,GOOD,1842.1,1796.05,2.5,1952.63,2026.31,2.4,4.0,Nifty Energy,4,2.0,2.0,1.0,2.0,0.0,,,,,SL HIT,1793.1,1793.1,-2.66,-49.0,2026-06-24,SL Hit,False,6,-26.6,-0.16,13.01,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Energy above EMA20
50,2026-06-18,OBEROIRLTY,7.0,GOOD,1694.2,1651.85,2.5,1795.85,1863.62,2.4,4.0,Nifty Realty,4,2.0,2.0,2.0,1.0,0.0,,,,,OPEN,1714.0,1714.0,1.17,19.8,,,False,6,11.7,3.63,8.73,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed
51,2026-06-18,ICICIGI,7.0,GOOD,1839.0,1793.02,2.5,1949.34,2022.9,2.4,4.0,Nifty Finance,4,1.0,2.0,2.0,2.0,0.0,,,,,OPEN,1835.2,1835.2,-0.21,-3.8,,,False,6,-2.1,2.3,10.23,2026-06-24 10:25 IST,BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Finance above EMA20
52,2026-06-18,BHEL,7.0,GOOD,405.9,395.75,2.5,430.25,446.49,2.4,4.0,Nifty Infra,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,403.35,403.35,-0.63,-2.55,,,False,6,-6.3,1.88,10.7,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Infra above EMA20
53,2026-06-20,ADANIENT,7.0,GOOD,3038.4,2962.44,2.5,3220.7,3342.24,2.4,4.0,Nifty 50,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,3007.6,3007.6,-1.01,-30.8,,,False,4,-10.1,1.5,11.13,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty 50 above EMA20
54,2026-06-20,AUROPHARMA,7.0,GOOD,1497.8,1460.36,2.5,1587.67,1647.58,2.4,4.0,Nifty Pharma,4,1.0,2.0,2.0,2.0,0.0,,,,,OPEN,1542.5,1542.5,2.98,44.7,,,False,4,29.8,5.33,6.81,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Pharma above EMA20
55,2026-06-20,GLENMARK,7.0,GOOD,2213.6,2158.26,2.5,2346.42,2434.96,2.4,4.0,Nifty Pharma,4,1.0,2.0,2.0,2.0,0.0,,,,,OPEN,2164.8,2164.8,-2.2,-48.8,,,False,4,-22.0,0.3,12.48,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | Bullish FVG present | Price retesting bullish Order Block | Liquidity grab below swing low | OBV uptrend confirmed | Nifty Pharma above EMA20
56,2026-06-20,PHOENIXLTD,7.0,GOOD,1881.1,1834.07,2.5,1993.97,2069.21,2.4,4.0,Nifty Realty,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,1877.7,1877.7,-0.18,-3.4,,,False,4,-1.8,2.32,10.2,2026-06-24 10:25 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Realty above EMA20
57,2026-06-20,MAHLIFE,7.0,GOOD,352.35,343.54,2.5,373.49,387.59,2.4,4.0,Nifty Realty,4,1.0,2.0,2.0,2.0,0.0,,,,,OPEN,357.6,357.6,1.49,5.25,,,False,4,14.9,3.93,8.39,2026-06-24 10:25 IST,BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | Volume breakout (1.8× avg) | OBV uptrend confirmed | Nifty Realty above EMA20
58,2026-06-24,ICICIBANK,7.0,GOOD,1369.1,1334.87,2.5,1451.25,1506.01,2.4,4.0,Nifty Bank,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,1369.1,,0.0,0.0,,,False,0,0.0,,,2026-06-24 10:26 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Bank above EMA20
59,2026-06-24,AXISBANK,7.0,GOOD,1370.8,1336.53,2.5,1453.05,1507.88,2.4,4.0,Nifty Bank,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,1370.8,,0.0,0.0,,,False,0,0.0,,,2026-06-24 10:26 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Bank above EMA20
60,2026-06-24,CIPLA,7.0,GOOD,1437.0,1401.08,2.5,1523.22,1580.7,2.4,4.0,Nifty Pharma,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,1437.0,,0.0,0.0,,,False,0,0.0,,,2026-06-24 10:26 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Pharma above EMA20
61,2026-06-24,MOTHERSON,7.0,GOOD,143.5,139.91,2.5,152.11,157.85,2.4,4.0,Nifty Auto,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,143.5,,0.0,0.0,,,False,0,0.0,,,2026-06-24 10:26 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Auto above EMA20
62,2026-06-24,CHOLAFIN,7.0,GOOD,1744.8,1701.18,2.5,1849.49,1919.28,2.4,4.0,Nifty Finance,4,2.0,2.0,1.0,2.0,0.0,,,,,OPEN,1744.8,,0.0,0.0,,,False,0,0.0,,,2026-06-24 10:26 IST,Price above EMA200 (uptrend) | BoS — higher high in last 20 days | Bullish FVG present | Price retesting bullish Order Block | OBV uptrend confirmed | Nifty Finance above EMA20
